n_weeks,regione,consolidation
11,veneto,98.85375512843608
12,abruzzo,98.65915142937367
12,basilicata,NA
12,campania,94.92731536124735
12,emilia_romagna,97.41267679776111
12,friuli_venezia_giulia,89.09630657718633
12,lazio,99.39473768101266
12,liguria,97.00914185912791
12,lombardia,97.96882224501829
12,marche,92.32644144196092
12,molise,96.52380697423608
12,pa_bolzano,89.50132370031446
12,pa_trento,88.0220334333718
12,piemonte,97.34680944251228
12,puglia,95.65660812776845
12,sardegna,96.08782000288471
12,sicilia,98.55780508992733
12,toscana,96.00636144143668
12,umbria,96.0221130955916
12,valle_d_aosta,95.46820398969105
12,veneto,98.8679179639377
13,abruzzo,98.58086416512518
13,basilicata,NA
13,campania,94.86507774698622
13,emilia_romagna,97.24566563567359
13,friuli_venezia_giulia,88.58159736935315
13,lazio,99.365791809053
13,liguria,96.93273763289487
13,lombardia,97.95257560101533
13,marche,92.3791764841422
13,molise,96.30654491012584
13,pa_bolzano,89.52108243158014
13,pa_trento,87.27341052295753
13,piemonte,97.35626051453154
13,puglia,95.2878601647995
13,sardegna,95.843308753065
13,sicilia,98.53765745586641
13,toscana,95.82260393152455
13,umbria,96.17871341498744
13,valle_d_aosta,95.35199216412099
13,veneto,98.74364826328687
14,abruzzo,98.744025627564
14,basilicata,NA
14,campania,94.65004522493416
14,emilia_romagna,97.10071471010521
14,friuli_venezia_giulia,88.07142748515047
14,lazio,99.32351126298985
14,liguria,96.76376201807552
14,lombardia,97.94776688242959
14,marche,92.01799876663502
14,molise,96.29070672766363
14,pa_bolzano,89.53295430635937
14,pa_trento,86.42497122448805
14,piemonte,97.3570843482435
14,puglia,96.25673495542802
14,sardegna,95.56619600326934
14,sicilia,98.54022292664766
14,toscana,96.02335896697217
14,umbria,96.17838306332298
14,valle_d_aosta,95.33144329845008
14,veneto,99.22607588047094
15,abruzzo,98.7614170275008
15,basilicata,NA
15,campania,94.26790559814376
15,emilia_romagna,96.88438100292163
15,friuli_venezia_giulia,87.60071945414435
15,lazio,99.33213398063812
15,liguria,96.85758009261535
15,lombardia,97.89801283604592
15,marche,91.44785582139467
15,molise,96.35422344744164
15,pa_bolzano,89.17732482757064
15,pa_trento,86.74869873732911
15,piemonte,97.31937635300605
15,puglia,95.33827079560149
15,sardegna,95.24949571778858
15,sicilia,98.62398356715299
15,toscana,95.99086252561527
15,umbria,97.07142944751418
15,valle_d_aosta,94.99797496262508
15,veneto,99.531570962862
16,abruzzo,98.67983276033328
16,basilicata,NA
16,campania,94.14882524245395
16,emilia_romagna,96.64158920075074
16,friuli_venezia_giulia,86.80294251841937
16,lazio,99.42843002216884
16,liguria,96.85895918850213
16,lombardia,97.78757541696993
16,marche,91.37686036374306
16,molise,97.14778726708523
16,pa_bolzano,88.34481135276839
16,pa_trento,86.86137308415172
16,piemonte,97.11317453400652
16,puglia,96.03666871409415
16,sardegna,94.88407231146462
16,sicilia,98.54766210223872
16,toscana,95.91188912165289
16,umbria,97.29316032840482
16,valle_d_aosta,94.61320380590394
16,veneto,99.5687573803892
17,abruzzo,98.60599033575306
17,basilicata,NA
17,campania,93.73916101743191
17,emilia_romagna,96.34403797944282
17,friuli_venezia_giulia,85.86860476329923
17,lazio,99.65410708841141
17,liguria,96.70714507566613
17,lombardia,97.58732545101971
17,marche,91.48904889584634
17,molise,97.14778726708523
17,pa_bolzano,87.37354563216576
17,pa_trento,86.66693916658795
17,piemonte,97.02323157419865
17,puglia,96.16358583457645
17,sardegna,94.45774500408668
17,sicilia,98.43583874531116
17,toscana,95.74812254265267
17,umbria,97.54559226394176
17,valle_d_aosta,94.22363261980644
17,veneto,99.65485323901021
18,abruzzo,98.71181796894295
18,basilicata,NA
18,campania,93.63380848931179
18,emilia_romagna,95.96461044416344
18,friuli_venezia_giulia,85.09802362030314
